Area,0,,1,,2,
Berry Forest,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Bond Bridge,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Cape Brink,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Celadon City,MAGIKARP,5-15,MAGIKARP,5-15,MAGIKARP,5-15
Cerulean Cave 1F,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Cerulean Cave B1F,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Cerulean City,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Cinnabar Island,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Five Island,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Five Isle Meadow,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Four Island,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Fuchsia City,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Green Path,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Icefall Cave Back Cavern,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Icefall Cave Entrance,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Kindle Road,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Memorial Pillar,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
One Island,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Outcast Island,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Pallet Town,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Resort Gorgeous,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Route 10,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 11,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 12,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 13,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 19,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 20,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 21,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 22,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Route 23,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Route 24,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 25,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Route 4,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Route 6,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Ruin Valley,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
S.S. Anne,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Safari Zone Area 1 - East,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Safari Zone Area 2 - North,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Safari Zone Area 3 - West,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Safari Zone Entrance,GOLDEEN,5-15,MAGIKARP,5-15,POLIWAG,5-15
Seafoam Islands B3F,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Seafoam Islands B4F,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Tanoby Ruins,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Trainer Tower,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Treasure Beach,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Vermilion City,HORSEA,5-15,MAGIKARP,5-15,KRABBY,5-15
Viridian City,POLIWAG,5-15,MAGIKARP,5-15,GOLDEEN,5-15
Water Labyrinth,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
Water Path,HORSEA,5-15,MAGIKARP,5-15,HORSEA,5-15
