Area,0,,1,
Berry Forest,MAGIKARP,5-5,MAGIKARP,5-5
Bond Bridge,MAGIKARP,5-5,MAGIKARP,5-5
Cape Brink,MAGIKARP,5-5,MAGIKARP,5-5
Celadon City,MAGIKARP,5-5,MAGIKARP,5-5
Cerulean Cave 1F,MAGIKARP,5-5,MAGIKARP,5-5
Cerulean Cave B1F,MAGIKARP,5-5,MAGIKARP,5-5
Cerulean City,MAGIKARP,5-5,MAGIKARP,5-5
Cinnabar Island,MAGIKARP,5-5,MAGIKARP,5-5
Five Island,MAGIKARP,5-5,MAGIKARP,5-5
Five Isle Meadow,MAGIKARP,5-5,MAGIKARP,5-5
Four Island,MAGIKARP,5-5,MAGIKARP,5-5
Fuchsia City,MAGIKARP,5-5,MAGIKARP,5-5
Green Path,MAGIKARP,5-5,MAGIKARP,5-5
Icefall Cave Entrance,MAGIKARP,5-5,MAGIKARP,5-5
Icefall Cave Back Cavern,MAGIKARP,5-5,MAGIKARP,5-5
Kindle Road,MAGIKARP,5-5,MAGIKARP,5-5
Memorial Pillar,MAGIKARP,5-5,MAGIKARP,5-5
One Island,MAGIKARP,5-5,MAGIKARP,5-5
Outcast Island,MAGIKARP,5-5,MAGIKARP,5-5
Pallet Town,MAGIKARP,5-10,MAGIKARP,5-10
Resort Gorgeous,MAGIKARP,5-5,MAGIKARP,5-5
Route 4,MAGIKARP,5-5,MAGIKARP,5-5
Route 6,MAGIKARP,5-5,MAGIKARP,5-5
Route 10,MAGIKARP,5-5,MAGIKARP,5-5
Route 11,MAGIKARP,5-5,MAGIKARP,5-5
Route 12,MAGIKARP,5-5,MAGIKARP,5-5
Route 13,MAGIKARP,5-5,MAGIKARP,5-5
Route 19,MAGIKARP,5-5,MAGIKARP,5-5
Route 20,MAGIKARP,5-5,MAGIKARP,5-5
Route 21,MAGIKARP,5-5,MAGIKARP,5-5
Route 22,MAGIKARP,5-5,MAGIKARP,5-5
Route 23,MAGIKARP,5-5,MAGIKARP,5-5
Route 24,MAGIKARP,5-5,MAGIKARP,5-5
Route 25-5,MAGIKARP,5-5,MAGIKARP,5-5
Ruin Valley,MAGIKARP,5-5,MAGIKARP,5-5
S.S. Anne,MAGIKARP,5-5,MAGIKARP,5-5
Safari Zone Entrance,MAGIKARP,5-5,MAGIKARP,5-5
Safari Zone Area 1 - East,MAGIKARP,5-5,MAGIKARP,5-5
Safari Zone Area 2 - North,MAGIKARP,5-5,MAGIKARP,5-5
Safari Zone Area 3 - West,MAGIKARP,5-5,MAGIKARP,5-5
Seafoam Islands B3F,MAGIKARP,5-5,MAGIKARP,5-5
Seafoam Islands B4F,MAGIKARP,5-5,MAGIKARP,5-5
Tanoby Ruins,MAGIKARP,5-5,MAGIKARP,5-5
Trainer Tower,MAGIKARP,5-5,MAGIKARP,5-5
Treasure Beach,MAGIKARP,5-5,MAGIKARP,5-5
Vermilion City,MAGIKARP,5-5,MAGIKARP,5-5
Viridian City,MAGIKARP,5-5,MAGIKARP,5-5
Water Labyrinth,MAGIKARP,5-5,MAGIKARP,5-5
Water Path,MAGIKARP,5-5,MAGIKARP,5-5
